Group,Filename,Structural_Phi,Order_Parameter_r,Invariant_Delta,Clinical_State
SIMULATION_SMOOTHING,results_smoothing_generalobscov_R.csv,4.26e+01,330.1107,329.2607,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_simulation_smoothing3_variates_1393.csv,8.15e+02,0.2468,0.6032,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_simulation_smoothing4_1401.csv,8.06e+01,0.4674,0.3826,DYNAMIC_FLOW
SIMULATION_SMOOTHING,results_simulation_smoothing6_1521.csv,7.90e+00,6.936,6.086,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_smoothing_generalobscov_R_1484.csv,4.26e+01,328.8845,328.0345,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_smoothing2_R_1488.csv,4.14e+01,517.4289,516.5789,CRITICAL_BREAKDOWN
SIMULATION_SMOOTHING,results_tweedie_aweights_nonrobust_1667.csv,4.16e+03,1.2138,0.3638,CRITICAL_BREAKDOWN
QC_REPORTS,master_edf_scan.csv,nan,,,DYNAMIC_FLOW
QC_REPORTS,master_ok.csv,4.65e+03,0.0002,0.8498,DYNAMIC_FLOW
REPORTS,_parkinson_report_585.csv,nan,,,DYNAMIC_FLOW
REPORTS,_parkinson_report_610.csv,nan,,,DYNAMIC_FLOW
REPORTS,_parkinson_report_972.csv,nan,,,DYNAMIC_FLOW
REPORTS,_parkinson_report.csv,nan,,,DYNAMIC_FLOW
REPORTS,batch_summary_final.csv,1.06e+02,132.4796,131.6296,CRITICAL_BREAKDOWN
REPORTS,stl_test_results.csv,1.72e+03,0.0029,0.8471,DYNAMIC_FLOW
REPORTS,_parkinson_report_1071.csv,nan,,,DYNAMIC_FLOW
REPORTS,_parkinson_report_1609.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,arima111_forecasts.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,autos_exog.csv,2.08e+01,2871.4889,2870.6389,CRITICAL_BREAKDOWN
MODEL_FORECATS,autos_predict_143.csv,1.41e+02,0.0049,0.8451,DYNAMIC_FLOW
MODEL_FORECATS,autos_predict.csv,1.41e+02,0.0049,0.8451,DYNAMIC_FLOW
MODEL_FORECATS,autos.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_ar_forecast_mle_dynamic_148.csv,2.31e+02,0.003,0.847,DYNAMIC_FLOW
MODEL_FORECATS,results_ar_forecast_mle_dynamic.csv,2.31e+02,0.003,0.847,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_exog_forecasts_css.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_exog_forecasts_mle.csv,8.60e+01,0.008,0.842,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_css_689.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_css_diff.csv,1.57e+02,0.0044,0.8456,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_css.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_mle_986.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_mle_diff.csv,1.57e+02,0.0044,0.8456,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_mle.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_rls_R_929.csv,1.29e+02,0.0385,0.8115,DYNAMIC_FLOW
MODEL_FORECATS,results_rls_R.csv,1.29e+02,0.0385,0.8115,DYNAMIC_FLOW
MODEL_FORECATS,transition_early_warning_series_490.csv,5.75e+01,10.4281,9.5781,CRITICAL_BREAKDOWN
MODEL_FORECATS,transition_early_warning_series.csv,5.75e+01,10.4184,9.5684,CRITICAL_BREAKDOWN
MODEL_FORECATS,chb_earlywarning_metrics_1243.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
MODEL_FORECATS,chb_preictal_baseline_ready_1225.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,resids_exact_c.csv,1.84e+02,0.2039,0.6461,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_exog_forecasts_mle_1130.csv,8.60e+01,0.008,0.842,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_mle_diff_1090.csv,1.57e+02,0.0044,0.8456,DYNAMIC_FLOW
MODEL_FORECATS,resids_css_c_1193.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,resids_exact_c_1226.csv,1.84e+02,0.2039,0.6461,DYNAMIC_FLOW
MODEL_FORECATS,results_intercepts_R_1237.csv,7.74e+02,0.0024,0.8476,DYNAMIC_FLOW
MODEL_FORECATS,arima212_forecast.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_arima_forecasts_all_css_diff_1244.csv,1.57e+02,0.0044,0.8456,DYNAMIC_FLOW
MODEL_FORECATS,results_varmax_stata_1354.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,arima111_forecasts_1687.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,arima212_forecast_1664.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_clark1989_R_1577.csv,2.22e+01,1.9325,1.0825,CRITICAL_BREAKDOWN
MODEL_FORECATS,results_arima_exog_forecasts_css_1520.csv,nan,,,DYNAMIC_FLOW
MODEL_FORECATS,results_clark1989_R.csv,2.22e+01,1.9333,1.0833,CRITICAL_BREAKDOWN
MODEL_FORECATS,sunspots_1450.csv,2.13e+02,0.0032,0.8468,DYNAMIC_FLOW
MODEL_FORECATS,stl_co2_1478.csv,2.34e+02,0.028,0.822,DYNAMIC_FLOW
MODEL_FORECATS,stl_test_results_1506.csv,1.72e+03,0.0029,0.8471,DYNAMIC_FLOW
MODEL_FORECATS,results_simulation_smoothing5_1697.csv,8.11e+00,5.7464,4.8964,CRITICAL_BREAKDOWN
VAR&VARMAX,results_varmax_stata.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,2016-06-29.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,2016-07-29.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,AUDIT_PIPELINES.csv,3.56e+02,827.0346,826.1846,CRITICAL_BREAKDOWN
AUTO_SYSTEM,bmt_289.csv,6.84e+02,0.0005,0.8495,DYNAMIC_FLOW
AUTO_SYSTEM,bmt.csv,6.84e+02,0.0005,0.8495,DYNAMIC_FLOW
AUTO_SYSTEM,bootleg_852.csv,5.04e+04,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,bootleg.csv,5.04e+04,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,breast_cancer_235.csv,1.48e+02,5049.7574,5048.9074,CRITICAL_BREAKDOWN
AUTO_SYSTEM,breast_cancer_471.csv,1.48e+02,4986.0112,4985.1612,CRITICAL_BREAKDOWN
AUTO_SYSTEM,breast_cancer.csv,1.48e+02,5220.2849,5219.4349,CRITICAL_BREAKDOWN
AUTO_SYSTEM,cancer.csv,1.22e+03,0.0,0.85,DYNAMIC_FLOW
AUTO_SYSTEM,cfa_tvpvar_invP_955.csv,7.05e+01,104.3389,103.4889,CRITICAL_BREAKDOWN
AUTO_SYSTEM,cfa_tvpvar_invP.csv,7.05e+01,110.6233,109.7733,CRITICAL_BREAKDOWN
AUTO_SYSTEM,clark1989_545.csv,5.99e+02,0.0002,0.8498,DYNAMIC_FLOW
AUTO_SYSTEM,clark1989.csv,5.99e+02,0.0002,0.8498,DYNAMIC_FLOW
AUTO_SYSTEM,co2.csv,6.14e+03,0.0,0.85,DYNAMIC_FLOW
AUTO_SYSTEM,dietox.csv,2.74e+02,0.0005,0.8495,DYNAMIC_FLOW
AUTO_SYSTEM,dosenbach_2010.csv,1.10e+02,0.0063,0.8437,DYNAMIC_FLOW
AUTO_SYSTEM,enet_binomial_277.csv,1.43e+02,0.2359,0.6141,DYNAMIC_FLOW
AUTO_SYSTEM,enet_binomial.csv,1.43e+02,0.2359,0.6141,DYNAMIC_FLOW
AUTO_SYSTEM,engel.csv,1.29e+03,0.0006,0.8494,DYNAMIC_FLOW
AUTO_SYSTEM,fair_pt_597.csv,1.03e+03,0.0004,0.8496,DYNAMIC_FLOW
AUTO_SYSTEM,fair_pt.csv,1.03e+03,0.0004,0.8496,DYNAMIC_FLOW
AUTO_SYSTEM,fair.csv,1.12e+04,644.2033,643.3533,CRITICAL_BREAKDOWN
AUTO_SYSTEM,fertility.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,framing.csv,1.83e+02,0.0038,0.8462,DYNAMIC_FLOW
AUTO_SYSTEM,formula_test_all_20260215_100355.csv,1.84e+03,0.0025,0.8475,DYNAMIC_FLOW
AUTO_SYSTEM,housing-data_332.csv,1.63e+03,0.0063,0.8437,DYNAMIC_FLOW
AUTO_SYSTEM,housing-data.csv,1.63e+03,0.0063,0.8437,DYNAMIC_FLOW
AUTO_SYSTEM,iris_767.csv,5.02e+01,0.2265,0.6235,DYNAMIC_FLOW
AUTO_SYSTEM,iris_976.csv,5.00e+01,0.2262,0.6238,DYNAMIC_FLOW
AUTO_SYSTEM,iris.csv,5.00e+01,0.2262,0.6238,DYNAMIC_FLOW
AUTO_SYSTEM,lme00.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,lme02.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme03.csv,6.86e+01,0.0103,0.8397,DYNAMIC_FLOW
AUTO_SYSTEM,lme04_909.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme04.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme05_184.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme05.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme06.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,lme07_890.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme07.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme08_846.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme08.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme09_1062.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,macrodata.csv,7.85e+02,0.0001,0.8499,DYNAMIC_FLOW
AUTO_SYSTEM,master_ok.csv,4.65e+03,0.0002,0.8498,DYNAMIC_FLOW
AUTO_SYSTEM,motorcycle_616.csv,3.38e+02,0.0063,0.8437,DYNAMIC_FLOW
AUTO_SYSTEM,motorcycle.csv,3.38e+02,0.0063,0.8437,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-1_306.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-1_670.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-1.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-2_1006.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-2.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,mstl_elec_vic_731.csv,1.95e+04,0.0002,0.8498,DYNAMIC_FLOW
AUTO_SYSTEM,mstl_elec_vic.csv,1.95e+04,0.0002,0.8498,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64-testset-1_1038.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64-testset-1.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64-testset-2_692.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64-testset-2.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64dxsm-testset-1_318.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64dxsm-testset-1_373.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64dxsm-testset-1_453.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64dxsm-testset-1.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64dxsm-testset-2.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,power_2011_927.csv,1.82e+02,0.0038,0.8462,DYNAMIC_FLOW
AUTO_SYSTEM,power_2011.csv,1.82e+02,0.0038,0.8462,DYNAMIC_FLOW
AUTO_SYSTEM,philox-testset-1_493.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,philox-testset-1_833.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,philox-testset-1_932.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,philox-testset-1.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,philox-testset-2_320.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,philox-testset-2_362.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,philox-testset-2.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,rand10000.csv,5.27e+03,0.0065,0.8435,DYNAMIC_FLOW
AUTO_SYSTEM,randhie_384.csv,8.78e+03,86.4506,85.6006,CRITICAL_BREAKDOWN
AUTO_SYSTEM,randhie.csv,8.78e+03,86.137,85.287,CRITICAL_BREAKDOWN
AUTO_SYSTEM,racd10data_with_transformed.csv,2.18e+04,0.0507,0.7993,DYNAMIC_FLOW
AUTO_SYSTEM,results_predict_fedfunds_254.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,results_predict_fedfunds.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,results_predict_rgnp.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,results_realgdpar_stata_565.csv,1.04e+03,0.0001,0.8499,DYNAMIC_FLOW
AUTO_SYSTEM,results_realgdpar_stata.csv,1.04e+03,0.0001,0.8499,DYNAMIC_FLOW
AUTO_SYSTEM,sfc64-testset-1.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,sfc64-testset-2_382.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,sfc64-testset-2_568.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,sfc64-testset-2.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,sfc64-testset-1_687.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,sm3533.csv,1.53e+03,0.0136,0.8364,DYNAMIC_FLOW
AUTO_SYSTEM,star98.csv,2.57e+03,0.0,0.85,DYNAMIC_FLOW
AUTO_SYSTEM,stkprc_832.csv,1.12e+01,0.348,0.502,DYNAMIC_FLOW
AUTO_SYSTEM,stkprc.csv,1.12e+01,0.348,0.502,DYNAMIC_FLOW
AUTO_SYSTEM,stl_co2.csv,2.34e+02,0.028,0.822,DYNAMIC_FLOW
AUTO_SYSTEM,sunspots.csv,2.13e+02,0.0032,0.8468,DYNAMIC_FLOW
AUTO_SYSTEM,test_lowess_delta.csv,3.38e+02,0.0063,0.8437,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-arccos_883.csv,1.10e+00,6585.454,6584.604,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arccos.csv,1.10e+00,6458.1403,6457.2903,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arccosh_711.csv,6.93e-01,6961.1659,6960.3159,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arccosh.csv,6.93e-01,6717.472,6716.622,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arcsin_639.csv,1.39e+00,6297.9886,6297.1386,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arcsin_718.csv,1.39e+00,6462.4497,6461.5997,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arcsin.csv,1.39e+00,6461.1646,6460.3146,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arctan_755.csv,1.10e+00,6542.4537,6541.6037,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arctan_796.csv,1.10e+00,6735.0893,6734.2393,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arctan.csv,1.10e+00,6541.9716,6541.1216,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arctanh_1054.csv,6.93e-01,6598.205,6597.355,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arctanh.csv,6.93e-01,7051.8243,7050.9743,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cbrt_174.csv,0.00e+00,24548.785,24547.935,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cbrt_275.csv,0.00e+00,24432.9677,24432.1177,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cbrt_301.csv,0.00e+00,24144.7985,24143.9485,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cbrt.csv,0.00e+00,24504.849,24503.999,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cos_615.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-cos_685.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-cos.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-cosh_686.csv,1.10e+00,6469.7086,6468.8586,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cosh.csv,1.10e+00,6563.9367,6563.0867,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-exp.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-exp2_496.csv,6.93e-01,6954.6994,6953.8494,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-exp2.csv,6.93e-01,6940.742,6939.892,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-expm1_684.csv,1.10e+00,6462.9661,6462.1161,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-expm1.csv,1.10e+00,6620.2949,6619.4449,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log_906.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-log_1007.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-log.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-log1p_479.csv,6.93e-01,6887.7667,6886.9167,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log1p_658.csv,6.93e-01,6910.1046,6909.2546,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log1p_893.csv,6.93e-01,6907.432,6906.582,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log1p.csv,6.93e-01,6746.0677,6745.2177,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log2_961.csv,1.10e+00,6973.5521,6972.7021,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log2_1047.csv,1.10e+00,6715.4094,6714.5594,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log2.csv,1.10e+00,7138.2534,7137.4034,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-sin_757.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-sin_835.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-sin.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-sinh_1020.csv,6.93e-01,6895.3369,6894.4869,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-sinh.csv,6.93e-01,6776.8744,6776.0244,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tan_798.csv,1.39e+00,6424.9492,6424.0992,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tan_1008.csv,1.39e+00,6461.4952,6460.6452,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tan.csv,1.39e+00,6622.7069,6621.8569,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tanh.csv,0.00e+00,24470.7502,24469.9002,CRITICAL_BREAKDOWN
AUTO_SYSTEM,wine_data_283.csv,8.14e+02,0.0009,0.8491,DYNAMIC_FLOW
AUTO_SYSTEM,wine_data.csv,8.14e+02,0.0009,0.8491,DYNAMIC_FLOW
AUTO_SYSTEM,y_arma_data_991.csv,2.38e+02,0.071,0.779,DYNAMIC_FLOW
AUTO_SYSTEM,y_arma_data.csv,2.38e+02,0.071,0.779,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_css_c_770.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_css_c.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_css_nc_403.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_css_nc.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_exact_c_999.csv,2.36e+02,0.0722,0.7778,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_exact_c.csv,2.36e+02,0.0722,0.7778,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_exact_nc.csv,2.36e+02,0.1166,0.7334,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_poisson_652.csv,3.09e+03,0.3513,0.4987,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_poisson.csv,3.09e+03,0.3513,0.4987,DYNAMIC_FLOW
AUTO_SYSTEM,AUDIT_PIPELINES_1068.csv,3.56e+02,829.8731,829.0231,CRITICAL_BREAKDOWN
AUTO_SYSTEM,bds_data.csv,9.86e+02,0.0001,0.8499,DYNAMIC_FLOW
AUTO_SYSTEM,master_edf_scan.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,gee_logistic_1_1095.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme10.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64-testset-2_1096.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64dxsm-testset-2_1069.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,chb_earlywarning_metrics_1179.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
AUTO_SYSTEM,batch_summary_partial.csv,1.06e+02,108.9674,108.1174,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arccos_1103.csv,1.10e+00,6701.0513,6700.2013,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-exp_1087.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-log10_1120.csv,1.39e+00,6595.4569,6594.6069,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log10.csv,1.39e+00,6710.9192,6710.0692,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-sinh_1080.csv,6.93e-01,6900.0943,6899.2443,CRITICAL_BREAKDOWN
AUTO_SYSTEM,Artemis123_mneLoc.csv,9.92e+01,0.5774,0.2726,DYNAMIC_FLOW
AUTO_SYSTEM,autos_exog_1132.csv,2.08e+01,2713.4871,2712.6371,CRITICAL_BREAKDOWN
AUTO_SYSTEM,fertility_1154.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,medparlogresids_1145.csv,1.03e+04,0.0313,0.8187,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-2_1161.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,pcg64dxsm-testset-2_1142.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
